Dep;Arr;Nb;Trajet A;Trajet B
AIX EN PROVENCE TGV;PARIS LYON;25835;PARIS LYON;AIX EN PROVENCE TGV
ANGERS SAINT LAUD;PARIS MONTPARNASSE;27493;PARIS MONTPARNASSE;ANGERS SAINT LAUD
ANGOULEME;PARIS MONTPARNASSE;18985;PARIS MONTPARNASSE;ANGOULEME
ANNECY;PARIS LYON;10771;PARIS LYON;ANNECY
ARRAS;PARIS NORD;20247;PARIS NORD;ARRAS
AVIGNON TGV;PARIS LYON;32797;PARIS LYON;AVIGNON TGV
BARCELONA;PARIS LYON;1900;PARIS LYON;BARCELONA
BELLEGARDE (AIN);PARIS LYON;14388;PARIS LYON;BELLEGARDE (AIN)
BESANCON FRANCHE COMTE TGV;PARIS LYON;12406;PARIS LYON;BESANCON FRANCHE COMTE TGV
BORDEAUX ST JEAN;PARIS MONTPARNASSE;47302;PARIS MONTPARNASSE;BORDEAUX ST JEAN
BORDEAUX ST JEAN;PARIS VAUGIRARD;640;PARIS VAUGIRARD;BORDEAUX ST JEAN
BREST;PARIS MONTPARNASSE;15304;PARIS MONTPARNASSE;BREST
CHAMBERY CHALLES LES EAUX;PARIS LYON;12887;PARIS LYON;CHAMBERY CHALLES LES EAUX
DIJON VILLE;PARIS LYON;26883;PARIS LYON;DIJON VILLE
DOUAI;PARIS NORD;12044;PARIS NORD;DOUAI
DUNKERQUE;PARIS NORD;14980;PARIS NORD;DUNKERQUE
FRANCFORT;PARIS EST;8243;PARIS EST;FRANCFORT
GENEVE;PARIS LYON;13673;PARIS LYON;GENEVE
GRENOBLE;PARIS LYON;13628;PARIS LYON;GRENOBLE
ITALIE;PARIS LYON;5470;PARIS LYON;ITALIE
LA ROCHELLE VILLE;PARIS MONTPARNASSE;13173;PARIS MONTPARNASSE;LA ROCHELLE VILLE
LAUSANNE;PARIS LYON;7941;PARIS LYON;LAUSANNE
LAVAL;PARIS MONTPARNASSE;13992;PARIS MONTPARNASSE;LAVAL
LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;13533;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN
LE MANS;PARIS MONTPARNASSE;27621;PARIS MONTPARNASSE;LE MANS
LILLE;PARIS NORD;36032;PARIS NORD;LILLE
LYON PART DIEU;PARIS LYON;38498;PARIS LYON;LYON PART DIEU
MACON LOCHE;PARIS LYON;12849;PARIS LYON;MACON LOCHE
MARSEILLE ST CHARLES;PARIS LYON;27946;PARIS LYON;MARSEILLE ST CHARLES
METZ;PARIS EST;18430;PARIS EST;METZ
MONTPELLIER;PARIS LYON;21099;PARIS LYON;MONTPELLIER
MULHOUSE VILLE;PARIS LYON;19194;PARIS LYON;MULHOUSE VILLE
NANCY;PARIS EST;18127;PARIS EST;NANCY
NANTES;PARIS MONTPARNASSE;33965;PARIS MONTPARNASSE;NANTES
NANTES;PARIS VAUGIRARD;607;PARIS VAUGIRARD;NANTES
NICE VILLE;PARIS LYON;12823;PARIS LYON;NICE VILLE
NIMES;PARIS LYON;21124;PARIS LYON;NIMES
PARIS EST;FRANCFORT;9167;PARIS EST;FRANCFORT
PARIS EST;METZ;18906;PARIS EST;METZ
PARIS EST;NANCY;17959;PARIS EST;NANCY
